[snake_collate_fn] Sample 90: channel=FFC5h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249118.npy
[snake_collate_fn] Sample 91: channel=AFF1, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249115.npy
[snake_collate_fn] Sample 92: channel=FFT7h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249142.npy
[snake_collate_fn] Sample 93: channel=PO4, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249099.npy
[snake_collate_fn] Sample 94: channel=I2, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249137.npy
[snake_collate_fn] Sample 95: channel=FC4, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249085.npy
[snake_collate_fn] Sample 96: channel=FTT8h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249150.npy
[snake_collate_fn] Sample 97: channel=TP8, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249104.npy
[snake_collate_fn] Sample 98: channel=P5, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249093.npy
[snake_collate_fn] Sample 99: channel=AF7, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249075.npy
[snake_collate_fn] Sample 100: channel=FC1, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249054.npy
[snake_collate_fn] Sample 101: channel=POO10h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249166.npy
[snake_collate_fn] Sample 102: channel=CPP2h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249157.npy
[snake_collate_fn] Sample 103: channel=AFZ, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249116.npy
[snake_collate_fn] Sample 104: channel=PPO6h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249161.npy
[snake_collate_fn] Sample 105: channel=AFF6h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249141.npy
[snake_collate_fn] Sample 106: channel=CCP5h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249126.npy
[snake_collate_fn] Sample 107: channel=POO9h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249163.npy
[snake_collate_fn] Sample 108: channel=F1, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249080.npy
[snake_collate_fn] Sample 109: channel=FP2, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249046.npy
[snake_collate_fn] Sample 110: channel=PO10, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249112.npy
[snake_collate_fn] Sample 111: channel=OI2h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249168.npy
[snake_collate_fn] Sample 112: channel=PPO5h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249160.npy
[snake_collate_fn] Sample 113: channel=Iz, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249136.npy
[snake_collate_fn] Sample 114: channel=F4, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249051.npy
[snake_collate_fn] Sample 115: channel=TTP7h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249152.npy
[snake_collate_fn] Sample 116: channel=POz, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249071.npy
[snake_collate_fn] Sample 117: channel=CP2, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249064.npy
[snake_collate_fn] Sample 118: channel=PPO10h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249162.npy
[snake_collate_fn] Sample 119: channel=PPO2, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249135.npy
[snake_collate_fn] Sample 120: channel=PO7, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249105.npy
[snake_collate_fn] Sample 121: channel=CCP6h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249129.npy
[snake_collate_fn] Sample 122: channel=FT8, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249102.npy
[snake_collate_fn] Sample 123: channel=F6, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249082.npy
[snake_collate_fn] Sample 124: channel=Pz, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249068.npy
[snake_collate_fn] Sample 125: channel=FCC5h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249122.npy
[snake_collate_fn] Sample 126: channel=O1, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249072.npy
[snake_collate_fn] Sample 127: channel=FFC4h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249120.npy
[snake_collate_fn] Sample 128: channel=CPP3h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249131.npy
[snake_collate_fn] Sample 129: channel=F3, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249049.npy
[snake_collate_fn] Sample 130: channel=CPP5h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249130.npy
[snake_collate_fn] Sample 131: channel=TPP9h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249109.npy
[snake_collate_fn] Sample 132: channel=FFC3h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249119.npy
[snake_collate_fn] Sample 133: channel=AFF5h, sr=500, dur=7.838, path=/scratch/mae/3_62/signal_3_1249140.npy
[snake_collate_fn] Sample 134: channel=FFC3h, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231539.npy
[snake_collate_fn] Sample 135: channel=CPP1h, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231576.npy
[snake_collate_fn] Sample 136: channel=AVG_REF, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231589.npy
[snake_collate_fn] Sample 137: channel=CCP6h, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231549.npy
[snake_collate_fn] Sample 138: channel=PO4, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231519.npy
[snake_collate_fn] Sample 139: channel=Iz, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231557.npy
[snake_collate_fn] Sample 140: channel=FCC1h, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231569.npy
[snake_collate_fn] Sample 141: channel=FC6, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231477.npy
[snake_collate_fn] Sample 142: channel=C6, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231509.npy
[snake_collate_fn] Sample 143: channel=FFT7h, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231563.npy
[snake_collate_fn] Sample 144: channel=AF3, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231496.npy
[snake_collate_fn] Sample 145: channel=TP7, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231523.npy
[snake_collate_fn] Sample 146: channel=FPZ, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231468.npy
[snake_collate_fn] Sample 147: channel=FFC2h, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231565.npy
[snake_collate_fn] Sample 148: channel=PO7, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231525.npy
[snake_collate_fn] Sample 149: channel=PPO6h, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231581.npy
[snake_collate_fn] Sample 150: channel=FFC1h, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231564.npy
[snake_collate_fn] Sample 151: channel=FC5, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231474.npy
[snake_collate_fn] Sample 152: channel=FFC6h, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231541.npy
[snake_collate_fn] Sample 153: channel=P2, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231515.npy
[snake_collate_fn] Sample 154: channel=PO10, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231532.npy
[snake_collate_fn] Sample 155: channel=P9, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231533.npy
[snake_collate_fn] Sample 156: channel=F2, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231501.npy
[snake_collate_fn] Sample 157: channel=I1, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231556.npy
[snake_collate_fn] Sample 158: channel=P8, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231490.npy
[snake_collate_fn] Sample 159: channel=CP1, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231483.npy
[snake_collate_fn] Sample 160: channel=FC1, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231475.npy
[snake_collate_fn] Sample 161: channel=CCP1h, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231573.npy
[snake_collate_fn] Sample 162: channel=FCC6h, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231545.npy
[snake_collate_fn] Sample 163: channel=F3, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231470.npy
[snake_collate_fn] Sample 164: channel=CCP4h, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231548.npy
[snake_collate_fn] Sample 165: channel=FT10, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231528.npy
[snake_collate_fn] Sample 166: channel=C2, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231508.npy
[snake_collate_fn] Sample 167: channel=OI2h, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231588.npy
[snake_collate_fn] Sample 168: channel=CP2, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231484.npy
[snake_collate_fn] Sample 169: channel=PPO10h, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231582.npy
[snake_collate_fn] Sample 170: channel=F8, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231473.npy
[snake_collate_fn] Sample 171: channel=PPO5h, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231580.npy
[snake_collate_fn] Sample 172: channel=FC4, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231505.npy
[snake_collate_fn] Sample 173: channel=CPP4h, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231552.npy
[snake_collate_fn] Sample 174: channel=FFC5h, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231538.npy
[snake_collate_fn] Sample 175: channel=FTT7h, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231568.npy
[snake_collate_fn] Sample 176: channel=PPO2, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231555.npy
[snake_collate_fn] Sample 177: channel=TPP10h, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231530.npy
[snake_collate_fn] Sample 178: channel=CP3, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231510.npy
[snake_collate_fn] Sample 179: channel=CCP5h, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231546.npy
[snake_collate_fn] Sample 180: channel=CP4, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231512.npy
[snake_collate_fn] Sample 181: channel=P5, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231513.npy
[snake_collate_fn] Sample 182: channel=Oz, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231493.npy
[snake_collate_fn] Sample 183: channel=CPP2h, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231577.npy
[snake_collate_fn] Sample 184: channel=PO3, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231518.npy
[snake_collate_fn] Sample 185: channel=FCz, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231504.npy
[snake_collate_fn] Sample 186: channel=FCC5h, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231542.npy
[snake_collate_fn] Sample 187: channel=TPP9h, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231529.npy
[snake_collate_fn] Sample 188: channel=P4, sr=500, dur=7.618, path=/scratch/mae/3_61/signal_3_1231489.npy
